"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"68",23,"abs_max_d2",-0.468695652173913,23,NA,0.0220845889558674,"jack_quant",-0.425410653207042,-0.511980651140784,-0.318,-0.6705,0.173360953259373,0.55,25,0.25,0,"skew","gam",18.9261078791197
"69",23,"abs_max_d2",-0.468695652173913,23,1,0.0220845889558674,"sim_int",-0.425410653207042,-0.511980651140784,-0.318,-0.6705,0.173360953259373,0.55,25,0.25,0,"skew","gam",18.9261078791197
"70",24,"abs_max_d2",-0.2736,25,1,0.0289148654578306,"none",-0.216927905084831,-0.330272094915169,-0.0440000000000001,-0.46,0.368456605433286,0.55,25,0.25,0,"skew","gam",12.0373855330193
"71",24,"abs_max_d2",-0.2736,25,NA,0.0289148654578306,"jack_quant",-0.216927905084831,-0.330272094915169,-0.0440000000000001,-0.46,0.368456605433286,0.55,25,0.25,0,"skew","gam",12.0373855330193
"72",24,"abs_max_d2",-0.2736,25,1,0.0289148654578306,"sim_int",-0.216927905084831,-0.330272094915169,-0.0440000000000001,-0.46,0.368456605433286,0.55,25,0.25,0,"skew","gam",12.0373855330193
"73",25,"abs_max_d2",-0.895833333333333,24,1,0.0189608757132545,"none",-0.858670699820014,-0.932995966846652,-0.67,-0.98975,-0.253776727900048,0.55,25,0.25,0,"skew","gam",17.2551758748109
"74",25,"abs_max_d2",-0.895833333333333,24,NA,0.0189608757132545,"jack_quant",-0.858670699820014,-0.932995966846652,-0.67,-0.98975,-0.253776727900048,0.55,25,0.25,0,"skew","gam",17.2551758748109
"75",25,"abs_max_d2",-0.895833333333333,24,1,0.0189608757132545,"sim_int",-0.858670699820014,-0.932995966846652,-0.67,-0.98975,-0.253776727900048,0.55,25,0.25,0,"skew","gam",17.2551758748109
"76",26,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-1.28224542095268e-10
"77",26,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-1.28224542095268e-10
"78",26,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-1.28224542095268e-10
"79",27,"abs_max_d2",0.62125,24,1,0.0127549612275704,"none",0.646249264630243,0.596250735369757,0.737,0.5215,1.26330660543329,0.55,25,0.25,0,"skew","gam_ns",1.73574156553808
