"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"93",31,"abs_max_d2",-0.49,3,0,0.104163333279998,"sim_int",-0.285843618261561,-0.694156381738439,-0.3325,-0.5795,0.152056605433286,0.0275,25,0.25,1,"skew","gam",5.4846025647708
"94",32,"abs_max_d2",0.3044,25,1,0.0338710791088799,"none",0.370786095170912,0.238013904829088,0.5,0.0440000000000001,0.946456605433286,0.0275,25,0.25,1,"skew","gam",6.38214492096421
"95",32,"abs_max_d2",0.3044,25,NA,0.0338710791088799,"jack_quant",0.370786095170912,0.238013904829088,0.5,0.0440000000000001,0.946456605433286,0.0275,25,0.25,1,"skew","gam",6.38214492096421
"96",32,"abs_max_d2",0.0977777777777778,9,0,0.0185217589757441,"sim_int",0.134079758300568,0.0614757972549879,0.128,-0.012,0.739834383211064,0.0275,25,0.25,1,"skew","gam",6.38214492096421
"97",33,"abs_max_d2",0.248,25,1,0.0082285073575548,"none",0.26412757806733,0.23187242193267,0.304,0.168,0.890056605433286,0.0275,25,0.25,1,"skew","gam_ns",0.68037210446866
"98",33,"abs_max_d2",0.248,25,NA,0.0082285073575548,"jack_quant",0.26412757806733,0.23187242193267,0.304,0.168,0.890056605433286,0.0275,25,0.25,1,"skew","gam_ns",0.68037210446866
"99",33,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",0.68037210446866
"100",34,"abs_max_d2",-0.942857142857143,7,0,0.0112334534400813,"none",-0.920839978692576,-0.96487430702171,-0.91,-0.9785,-0.300800537423857,0.0275,25,0.25,1,"skew","lm_ns",-4.02735622628825e-11
"101",34,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-4.02735622628825e-11
"102",34,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-4.02735622628825e-11
"103",35,"abs_max_d2",-0.4348,25,1,0.0424800606821077,"none",-0.351540611001993,-0.518059388998007,-0.0460000000000012,-0.522,0.207256605433286,0.0275,25,0.25,1,"skew","gam",7.9499506580685
"104",35,"abs_max_d2",-0.4348,25,NA,0.0424800606821077,"jack_quant",-0.351540611001993,-0.518059388998007,-0.0460000000000012,-0.522,0.207256605433286,0.0275,25,0.25,1,"skew","gam",7.9499506580685
"105",35,"abs_max_d2",-0.47625,24,1,0.00402320772246126,"sim_int",-0.468364657761652,-0.484135342238347,-0.45,-0.52275,0.165806605433286,0.0275,25,0.25,1,"skew","gam",7.9499506580685
