"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","next_mod","aic_diff"
"61",21,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_DlC_ns","gam_DC",8.61535222895782e-06
"62",21,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_DlC_ns","gam_DC",8.61535222895782e-06
"63",21,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_DlC_ns","gam_DC",8.61535222895782e-06
"64",22,"abs_max_d2",-0.7852,25,1,0.0208925824157762,"none",-0.744251290921044,-0.826148709078956,-0.582000000000001,-0.838,-0.143143394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",76.1523881321442
"65",22,"abs_max_d2",-0.7852,25,NA,0.0208925824157762,"jack_quant",-0.744251290921044,-0.826148709078956,-0.582000000000001,-0.838,-0.143143394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",76.1523881321442
"66",22,"abs_max_d2",-0.7852,25,1,0.0208925824157762,"sim_int",-0.744251290921044,-0.826148709078956,-0.582000000000001,-0.838,-0.143143394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",76.1523881321442
"67",23,"abs_max_d2",-0.0335999999999999,25,1,0.0254260911488792,"none",0.0162342229194359,-0.0834342229194357,0.082,-0.342,0.608456605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",63.3451676017501
"68",23,"abs_max_d2",-0.0335999999999999,25,NA,0.0254260911488792,"jack_quant",0.0162342229194359,-0.0834342229194357,0.082,-0.342,0.608456605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",63.3451676017501
"69",23,"abs_max_d2",-0.0335999999999999,25,1,0.0254260911488792,"sim_int",0.0162342229194359,-0.0834342229194357,0.082,-0.342,0.608456605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",63.3451676017501
"70",24,"abs_max_d2",-0.4936,25,1,0.0206229376073234,"none",-0.453179785034229,-0.53402021496577,-0.266000000000001,-0.632,0.148456605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",8.22560588043501
"71",24,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",8.22560588043501
"72",24,"abs_max_d2",-0.4936,25,1,0.0206229376073234,"sim_int",-0.453179785034229,-0.53402021496577,-0.266000000000001,-0.632,0.148456605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",8.22560588043501
"73",25,"abs_max_d2",-0.8904,25,1,0.0303308149137694,"none",-0.830952695147262,-0.949847304852738,-0.512000000000001,-0.962,-0.248343394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DCl",85.9996603996489
"74",25,"abs_max_d2",-0.8904,25,NA,0.0303308149137694,"jack_quant",-0.830952695147262,-0.949847304852738,-0.512000000000001,-0.962,-0.248343394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DCl",85.9996603996489
"75",25,"abs_max_d2",-0.8904,25,1,0.0303308149137694,"sim_int",-0.830952695147262,-0.949847304852738,-0.512000000000001,-0.962,-0.248343394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DCl",85.9996603996489
"76",26,"abs_max_d2",-0.3824,25,1,0.00896133670584671,"none",-0.364836102803204,-0.399963897196796,-0.298,-0.438,0.259656605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",76.4798800042351
"77",26,"abs_max_d2",-0.3824,25,NA,0.00896133670584671,"jack_quant",-0.364836102803204,-0.399963897196796,-0.298,-0.438,0.259656605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",76.4798800042351
